Away,Home
LosAngelesAngels,NewYorkYankees
WashingtonNationals,NewYorkMets
HoustonAstros,OaklandAthletics
SanFranciscoGiants,PhiladelphiaPhillies
SanDiegoPadres,St.LouisCardinals
TampaBayRays,TexasRangers
ChicagoWhiteSox,TorontoBlueJays
AtlantaBraves,ArizonaD'Backs
SeattleMariners,BaltimoreOrioles
CincinnatiReds,BostonRedSox
MilwaukeeBrewers,ChicagoCubs
KansasCityRoyals,ClevelandGuardians
MiamiMarlins,ColoradoRockies
MiamiMarlins,ColoradoRockies
MinnesotaTwins,DetroitTigers
PittsburghPirates,LosAngelesDodgers
WashingtonNationals,NewYorkMets
HoustonAstros,OaklandAthletics
SanFranciscoGiants,PhiladelphiaPhillies
SanDiegoPadres,St.LouisCardinals
TampaBayRays,TexasRangers
ChicagoWhiteSox,TorontoBlueJays
SeattleMariners,BaltimoreOrioles
St.LouisCardinals,ChicagoCubs
WashingtonNationals,CincinnatiReds
AtlantaBraves,ColoradoRockies
MinnesotaTwins,DetroitTigers
NewYorkMets,LosAngelesDodgers
SanFranciscoGiants,MiamiMarlins
SanDiegoPadres,MilwaukeeBrewers
LosAngelesAngels,NewYorkYankees
LosAngelesAngels,NewYorkYankees
TampaBayRays,TexasRangers
ChicagoWhiteSox,TorontoBlueJays
ClevelandGuardians,BaltimoreOrioles
St.LouisCardinals,ChicagoCubs
WashingtonNationals,CincinnatiReds
AtlantaBraves,ColoradoRockies
HoustonAstros,KansasCityRoyals
NewYorkMets,LosAngelesDodgers
SanFranciscoGiants,MiamiMarlins
SanDiegoPadres,MilwaukeeBrewers
DetroitTigers,NewYorkYankees
BostonRedSox,OaklandAthletics
LosAngelesAngels,PhiladelphiaPhillies
ArizonaD'Backs,PittsburghPirates
ChicagoWhiteSox,TampaBayRays
SeattleMariners,TexasRangers
MinnesotaTwins,TorontoBlueJays
ClevelandGuardians,BaltimoreOrioles
St.LouisCardinals,ChicagoCubs
St.LouisCardinals,ChicagoCubs
WashingtonNationals,CincinnatiReds
AtlantaBraves,ColoradoRockies
HoustonAstros,KansasCityRoyals
NewYorkMets,LosAngelesDodgers
SanFranciscoGiants,MiamiMarlins
SanDiegoPadres,MilwaukeeBrewers
DetroitTigers,NewYorkYankees
BostonRedSox,OaklandAthletics
LosAngelesAngels,PhiladelphiaPhillies
ArizonaD'Backs,PittsburghPirates
ChicagoWhiteSox,TampaBayRays
SeattleMariners,TexasRangers
MinnesotaTwins,TorontoBlueJays
ClevelandGuardians,BaltimoreOrioles
St.LouisCardinals,ChicagoCubs
WashingtonNationals,CincinnatiReds
AtlantaBraves,ColoradoRockies
HoustonAstros,KansasCityRoyals
NewYorkMets,LosAngelesDodgers
SanFranciscoGiants,MiamiMarlins
SanDiegoPadres,MilwaukeeBrewers
DetroitTigers,NewYorkYankees
BostonRedSox,OaklandAthletics
LosAngelesAngels,PhiladelphiaPhillies
ArizonaD'Backs,PittsburghPirates
ChicagoWhiteSox,TampaBayRays
SeattleMariners,TexasRangers
MinnesotaTwins,TorontoBlueJays
BostonRedSox,LosAngelesAngels
ArizonaD'Backs,CincinnatiReds
SeattleMariners,HoustonAstros
TorontoBlueJays,KansasCityRoyals
NewYorkMets,SanDiegoPadres
BostonRedSox,LosAngelesAngels
OaklandAthletics,AtlantaBraves
ChicagoCubs,BaltimoreOrioles
LosAngelesDodgers,ChicagoWhiteSox
ArizonaD'Backs,CincinnatiReds
TexasRangers,ClevelandGuardians
TexasRangers,ClevelandGuardians
SeattleMariners,HoustonAstros
TorontoBlueJays,KansasCityRoyals
WashingtonNationals,MiamiMarlins
PhiladelphiaPhillies,MilwaukeeBrewers
NewYorkYankees,MinnesotaTwins
DetroitTigers,PittsburghPirates
NewYorkMets,SanDiegoPadres
ColoradoRockies,SanFranciscoGiants
St.LouisCardinals,TampaBayRays
BostonRedSox,LosAngelesAngels
OaklandAthletics,AtlantaBraves
LosAngelesDodgers,ChicagoWhiteSox
ArizonaD'Backs,CincinnatiReds
TexasRangers,ClevelandGuardians
SeattleMariners,HoustonAstros
TorontoBlueJays,KansasCityRoyals
WashingtonNationals,MiamiMarlins
PhiladelphiaPhillies,MilwaukeeBrewers
NewYorkYankees,MinnesotaTwins
DetroitTigers,PittsburghPirates
NewYorkMets,SanDiegoPadres
ColoradoRockies,SanFranciscoGiants
St.LouisCardinals,TampaBayRays
BostonRedSox,LosAngelesAngels
PittsburghPirates,AtlantaBraves
LosAngelesDodgers,ChicagoWhiteSox
ArizonaD'Backs,CincinnatiReds
OaklandAthletics,ClevelandGuardians
BaltimoreOrioles,KansasCityRoyals
WashingtonNationals,MiamiMarlins
PhiladelphiaPhillies,MilwaukeeBrewers
NewYorkYankees,MinnesotaTwins
ColoradoRockies,SanFranciscoGiants
St.LouisCardinals,TampaBayRays
NewYorkMets,LosAngelesAngels
PittsburghPirates,AtlantaBraves
TexasRangers,ChicagoWhiteSox
OaklandAthletics,ClevelandGuardians
TorontoBlueJays,DetroitTigers
MiamiMarlins,HoustonAstros
BaltimoreOrioles,KansasCityRoyals
TampaBayRays,MinnesotaTwins
ChicagoCubs,NewYorkYankees
ArizonaD'Backs,PhiladelphiaPhillies
ColoradoRockies,SanDiegoPadres
BostonRedSox,SeattleMariners
LosAngelesDodgers,SanFranciscoGiants
CincinnatiReds,St.LouisCardinals
MilwaukeeBrewers,WashingtonNationals
NewYorkMets,LosAngelesAngels
PittsburghPirates,AtlantaBraves
TexasRangers,ChicagoWhiteSox
OaklandAthletics,ClevelandGuardians
TorontoBlueJays,DetroitTigers
MiamiMarlins,HoustonAstros
BaltimoreOrioles,KansasCityRoyals
TampaBayRays,MinnesotaTwins
ChicagoCubs,NewYorkYankees
ArizonaD'Backs,PhiladelphiaPhillies
ColoradoRockies,SanDiegoPadres
ColoradoRockies,SanDiegoPadres
BostonRedSox,SeattleMariners
LosAngelesDodgers,SanFranciscoGiants
CincinnatiReds,St.LouisCardinals
MilwaukeeBrewers,WashingtonNationals
NewYorkMets,LosAngelesAngels
PittsburghPirates,AtlantaBraves
TexasRangers,ChicagoWhiteSox
OaklandAthletics,ClevelandGuardians
TorontoBlueJays,DetroitTigers
MiamiMarlins,HoustonAstros
BaltimoreOrioles,KansasCityRoyals
TampaBayRays,MinnesotaTwins
ChicagoCubs,NewYorkYankees
ArizonaD'Backs,PhiladelphiaPhillies
ColoradoRockies,SanDiegoPadres
BostonRedSox,SeattleMariners
LosAngelesDodgers,SanFranciscoGiants
CincinnatiReds,St.LouisCardinals
MilwaukeeBrewers,WashingtonNationals
CincinnatiReds,ArizonaD'Backs
SanDiegoPadres,ChicagoCubs
ChicagoWhiteSox,DetroitTigers
MiamiMarlins,PhiladelphiaPhillies
MinnesotaTwins,SeattleMariners
KansasCityRoyals,SanFranciscoGiants
PittsburghPirates,St.LouisCardinals
HoustonAstros,TexasRangers
BaltimoreOrioles,TorontoBlueJays
AtlantaBraves,WashingtonNationals
CincinnatiReds,ArizonaD'Backs
OaklandAthletics,BostonRedSox
SanDiegoPadres,ChicagoCubs
ClevelandGuardians,ColoradoRockies
ChicagoWhiteSox,DetroitTigers
LosAngelesAngels,LosAngelesDodgers
TampaBayRays,NewYorkYankees
MilwaukeeBrewers,NewYorkMets
MiamiMarlins,PhiladelphiaPhillies
MinnesotaTwins,SeattleMariners
KansasCityRoyals,SanFranciscoGiants
PittsburghPirates,St.LouisCardinals
PittsburghPirates,St.LouisCardinals
HoustonAstros,TexasRangers
BaltimoreOrioles,TorontoBlueJays
AtlantaBraves,WashingtonNationals
CincinnatiReds,ArizonaD'Backs
OaklandAthletics,BostonRedSox
SanDiegoPadres,ChicagoCubs
ClevelandGuardians,ColoradoRockies
ChicagoWhiteSox,DetroitTigers
LosAngelesAngels,LosAngelesDodgers
TampaBayRays,NewYorkYankees
MilwaukeeBrewers,NewYorkMets
MiamiMarlins,PhiladelphiaPhillies
MinnesotaTwins,SeattleMariners
KansasCityRoyals,SanFranciscoGiants
PittsburghPirates,St.LouisCardinals
HoustonAstros,TexasRangers
BaltimoreOrioles,TorontoBlueJays
AtlantaBraves,WashingtonNationals
OaklandAthletics,BostonRedSox
SanDiegoPadres,ChicagoCubs
ClevelandGuardians,ColoradoRockies
TexasRangers,DetroitTigers
TampaBayRays,NewYorkYankees
MilwaukeeBrewers,NewYorkMets
LosAngelesAngels,SeattleMariners
BaltimoreOrioles,TorontoBlueJays
PhiladelphiaPhillies,WashingtonNationals
MinnesotaTwins,ArizonaD'Backs
TampaBayRays,BaltimoreOrioles
St.LouisCardinals,BostonRedSox
AtlantaBraves,ChicagoCubs
MilwaukeeBrewers,CincinnatiReds
SanDiegoPadres,ColoradoRockies
TexasRangers,DetroitTigers
ChicagoWhiteSox,HoustonAstros
ClevelandGuardians,LosAngelesDodgers
MiamiMarlins,NewYorkMets
KansasCityRoyals,OaklandAthletics
SanFranciscoGiants,PittsburghPirates
LosAngelesAngels,SeattleMariners
NewYorkYankees,TorontoBlueJays
PhiladelphiaPhillies,WashingtonNationals
PhiladelphiaPhillies,WashingtonNationals
MinnesotaTwins,ArizonaD'Backs
TampaBayRays,BaltimoreOrioles
St.LouisCardinals,BostonRedSox
AtlantaBraves,ChicagoCubs
MilwaukeeBrewers,CincinnatiReds
SanDiegoPadres,ColoradoRockies
TexasRangers,DetroitTigers
ChicagoWhiteSox,HoustonAstros
ClevelandGuardians,LosAngelesDodgers
MiamiMarlins,NewYorkMets
KansasCityRoyals,OaklandAthletics
SanFranciscoGiants,PittsburghPirates
LosAngelesAngels,SeattleMariners
LosAngelesAngels,SeattleMariners
NewYorkYankees,TorontoBlueJays
PhiladelphiaPhillies,WashingtonNationals
MinnesotaTwins,ArizonaD'Backs
TampaBayRays,BaltimoreOrioles
St.LouisCardinals,BostonRedSox
AtlantaBraves,ChicagoCubs
MilwaukeeBrewers,CincinnatiReds
SanDiegoPadres,ColoradoRockies
TexasRangers,DetroitTigers
ChicagoWhiteSox,HoustonAstros
ClevelandGuardians,LosAngelesDodgers
MiamiMarlins,NewYorkMets
KansasCityRoyals,OaklandAthletics
SanFranciscoGiants,PittsburghPirates
LosAngelesAngels,SeattleMariners
NewYorkYankees,TorontoBlueJays
PhiladelphiaPhillies,WashingtonNationals
KansasCityRoyals,LosAngelesAngels
SanFranciscoGiants,AtlantaBraves
DetroitTigers,BostonRedSox
TorontoBlueJays,ChicagoWhiteSox
St.LouisCardinals,MilwaukeeBrewers
MiamiMarlins,NewYorkMets
ChicagoCubs,PittsburghPirates
ArizonaD'Backs,SanDiegoPadres
NewYorkYankees,TampaBayRays
KansasCityRoyals,LosAngelesAngels
SanFranciscoGiants,AtlantaBraves
WashingtonNationals,BaltimoreOrioles
DetroitTigers,BostonRedSox
TorontoBlueJays,ChicagoWhiteSox
LosAngelesDodgers,CincinnatiReds
NewYorkMets,HoustonAstros
ColoradoRockies,MiamiMarlins
St.LouisCardinals,MilwaukeeBrewers
ClevelandGuardians,MinnesotaTwins
SeattleMariners,OaklandAthletics
ChicagoCubs,PittsburghPirates
ArizonaD'Backs,SanDiegoPadres
NewYorkYankees,TampaBayRays
PhiladelphiaPhillies,TexasRangers
KansasCityRoyals,LosAngelesAngels
SanFranciscoGiants,AtlantaBraves
WashingtonNationals,BaltimoreOrioles
DetroitTigers,BostonRedSox
TorontoBlueJays,ChicagoWhiteSox
LosAngelesDodgers,CincinnatiReds
NewYorkMets,HoustonAstros
ColoradoRockies,MiamiMarlins
St.LouisCardinals,MilwaukeeBrewers
ClevelandGuardians,MinnesotaTwins
SeattleMariners,OaklandAthletics
ChicagoCubs,PittsburghPirates
ArizonaD'Backs,SanDiegoPadres
NewYorkYankees,TampaBayRays
PhiladelphiaPhillies,TexasRangers
SanFranciscoGiants,AtlantaBraves
BaltimoreOrioles,ChicagoWhiteSox
LosAngelesDodgers,CincinnatiReds
ColoradoRockies,MiamiMarlins
St.LouisCardinals,MilwaukeeBrewers
ClevelandGuardians,MinnesotaTwins
HoustonAstros,NewYorkYankees
SeattleMariners,OaklandAthletics
ChicagoCubs,PittsburghPirates
PhiladelphiaPhillies,SanDiegoPadres
SeattleMariners,LosAngelesAngels
DetroitTigers,ArizonaD'Backs
LosAngelesDodgers,AtlantaBraves
BaltimoreOrioles,ChicagoWhiteSox
BostonRedSox,ClevelandGuardians
OaklandAthletics,KansasCityRoyals
NewYorkMets,MiamiMarlins
TorontoBlueJays,MilwaukeeBrewers
ColoradoRockies,MinnesotaTwins
HoustonAstros,NewYorkYankees
PhiladelphiaPhillies,SanDiegoPadres
CincinnatiReds,SanFranciscoGiants
ChicagoCubs,St.LouisCardinals
PittsburghPirates,TampaBayRays
WashingtonNationals,TexasRangers
SeattleMariners,LosAngelesAngels
DetroitTigers,ArizonaD'Backs
LosAngelesDodgers,AtlantaBraves
BaltimoreOrioles,ChicagoWhiteSox
BostonRedSox,ClevelandGuardians
OaklandAthletics,KansasCityRoyals
NewYorkMets,MiamiMarlins
TorontoBlueJays,MilwaukeeBrewers
ColoradoRockies,MinnesotaTwins
HoustonAstros,NewYorkYankees
PhiladelphiaPhillies,SanDiegoPadres
CincinnatiReds,SanFranciscoGiants
ChicagoCubs,St.LouisCardinals
PittsburghPirates,TampaBayRays
WashingtonNationals,TexasRangers
SeattleMariners,LosAngelesAngels
DetroitTigers,ArizonaD'Backs
LosAngelesDodgers,AtlantaBraves
BaltimoreOrioles,ChicagoWhiteSox
BostonRedSox,ClevelandGuardians
OaklandAthletics,KansasCityRoyals
NewYorkMets,MiamiMarlins
TorontoBlueJays,MilwaukeeBrewers
ColoradoRockies,MinnesotaTwins
HoustonAstros,NewYorkYankees
PhiladelphiaPhillies,SanDiegoPadres
CincinnatiReds,SanFranciscoGiants
ChicagoCubs,St.LouisCardinals
PittsburghPirates,TampaBayRays
WashingtonNationals,TexasRangers
ChicagoWhiteSox,LosAngelesAngels
MinnesotaTwins,ClevelandGuardians
LosAngelesDodgers,ColoradoRockies
TexasRangers,KansasCityRoyals
OaklandAthletics,NewYorkYankees
BaltimoreOrioles,SeattleMariners
MiamiMarlins,St.LouisCardinals
BostonRedSox,TorontoBlueJays
PittsburghPirates,WashingtonNationals
ChicagoWhiteSox,LosAngelesAngels
SanDiegoPadres,ArizonaD'Backs
CincinnatiReds,ChicagoCubs
MinnesotaTwins,ClevelandGuardians
MinnesotaTwins,ClevelandGuardians
LosAngelesDodgers,ColoradoRockies
TexasRangers,KansasCityRoyals
OaklandAthletics,NewYorkYankees
HoustonAstros,NewYorkMets
AtlantaBraves,PhiladelphiaPhillies
BaltimoreOrioles,SeattleMariners
DetroitTigers,SanFranciscoGiants
MiamiMarlins,St.LouisCardinals
MilwaukeeBrewers,TampaBayRays
BostonRedSox,TorontoBlueJays
PittsburghPirates,WashingtonNationals
ChicagoWhiteSox,LosAngelesAngels
SanDiegoPadres,ArizonaD'Backs
CincinnatiReds,ChicagoCubs
MinnesotaTwins,ClevelandGuardians
LosAngelesDodgers,ColoradoRockies
TexasRangers,KansasCityRoyals
OaklandAthletics,NewYorkYankees
HoustonAstros,NewYorkMets
AtlantaBraves,PhiladelphiaPhillies
BaltimoreOrioles,SeattleMariners
DetroitTigers,SanFranciscoGiants
MiamiMarlins,St.LouisCardinals
MilwaukeeBrewers,TampaBayRays
BostonRedSox,TorontoBlueJays
PittsburghPirates,WashingtonNationals
CincinnatiReds,ChicagoCubs
MinnesotaTwins,ClevelandGuardians
NewYorkYankees,HoustonAstros
SanDiegoPadres,LosAngelesDodgers
AtlantaBraves,PhiladelphiaPhillies
MilwaukeeBrewers,PittsburghPirates
OaklandAthletics,SeattleMariners
TampaBayRays,TorontoBlueJays
BostonRedSox,ChicagoCubs
AtlantaBraves,CincinnatiReds
ArizonaD'Backs,ColoradoRockies
KansasCityRoyals,DetroitTigers
LosAngelesAngels,HoustonAstros
SanDiegoPadres,LosAngelesDodgers
BaltimoreOrioles,MinnesotaTwins
TexasRangers,NewYorkMets
St.LouisCardinals,PhiladelphiaPhillies
MilwaukeeBrewers,PittsburghPirates
OaklandAthletics,SeattleMariners
ChicagoWhiteSox,SanFranciscoGiants
TampaBayRays,TorontoBlueJays
MiamiMarlins,WashingtonNationals
BostonRedSox,ChicagoCubs
AtlantaBraves,CincinnatiReds
NewYorkYankees,ClevelandGuardians
NewYorkYankees,ClevelandGuardians
ArizonaD'Backs,ColoradoRockies
KansasCityRoyals,DetroitTigers
LosAngelesAngels,HoustonAstros
SanDiegoPadres,LosAngelesDodgers
BaltimoreOrioles,MinnesotaTwins
TexasRangers,NewYorkMets
St.LouisCardinals,PhiladelphiaPhillies
MilwaukeeBrewers,PittsburghPirates
OaklandAthletics,SeattleMariners
ChicagoWhiteSox,SanFranciscoGiants
TampaBayRays,TorontoBlueJays
TampaBayRays,TorontoBlueJays
MiamiMarlins,WashingtonNationals
BostonRedSox,ChicagoCubs
AtlantaBraves,CincinnatiReds
NewYorkYankees,ClevelandGuardians
ArizonaD'Backs,ColoradoRockies
KansasCityRoyals,DetroitTigers
LosAngelesAngels,HoustonAstros
SanDiegoPadres,LosAngelesDodgers
BaltimoreOrioles,MinnesotaTwins
TexasRangers,NewYorkMets
St.LouisCardinals,PhiladelphiaPhillies
MilwaukeeBrewers,PittsburghPirates
OaklandAthletics,SeattleMariners
ChicagoWhiteSox,SanFranciscoGiants
TampaBayRays,TorontoBlueJays
MiamiMarlins,WashingtonNationals
SanFranciscoGiants,ArizonaD'Backs
St.LouisCardinals,AtlantaBraves
TexasRangers,BaltimoreOrioles
TampaBayRays,BostonRedSox
MinnesotaTwins,ChicagoWhiteSox
NewYorkMets,CincinnatiReds
ClevelandGuardians,DetroitTigers
ClevelandGuardians,DetroitTigers
KansasCityRoyals,HoustonAstros
ColoradoRockies,LosAngelesDodgers
ChicagoCubs,MilwaukeeBrewers
TorontoBlueJays,OaklandAthletics
SeattleMariners,SanDiegoPadres
MiamiMarlins,WashingtonNationals
SanFranciscoGiants,ArizonaD'Backs
St.LouisCardinals,AtlantaBraves
TexasRangers,BaltimoreOrioles
TampaBayRays,BostonRedSox
MinnesotaTwins,ChicagoWhiteSox
NewYorkMets,CincinnatiReds
ClevelandGuardians,DetroitTigers
KansasCityRoyals,HoustonAstros
ColoradoRockies,LosAngelesDodgers
LosAngelesAngels,MiamiMarlins
ChicagoCubs,MilwaukeeBrewers
TorontoBlueJays,OaklandAthletics
WashingtonNationals,PhiladelphiaPhillies
NewYorkYankees,PittsburghPirates
SeattleMariners,SanDiegoPadres
SanFranciscoGiants,ArizonaD'Backs
St.LouisCardinals,AtlantaBraves
TexasRangers,BaltimoreOrioles
TampaBayRays,BostonRedSox
MinnesotaTwins,ChicagoWhiteSox
NewYorkMets,CincinnatiReds
ClevelandGuardians,DetroitTigers
KansasCityRoyals,HoustonAstros
ColoradoRockies,LosAngelesDodgers
LosAngelesAngels,MiamiMarlins
ChicagoCubs,MilwaukeeBrewers
TorontoBlueJays,OaklandAthletics
WashingtonNationals,PhiladelphiaPhillies
NewYorkYankees,PittsburghPirates
ColoradoRockies,ArizonaD'Backs
St.LouisCardinals,AtlantaBraves
LosAngelesAngels,BaltimoreOrioles
NewYorkYankees,BostonRedSox
DetroitTigers,ChicagoWhiteSox
PittsburghPirates,CincinnatiReds
PittsburghPirates,CincinnatiReds
KansasCityRoyals,HoustonAstros
ChicagoCubs,LosAngelesDodgers
MiamiMarlins,NewYorkMets
WashingtonNationals,PhiladelphiaPhillies
SanFranciscoGiants,SanDiegoPadres
TorontoBlueJays,SeattleMariners
ColoradoRockies,ArizonaD'Backs
WashingtonNationals,AtlantaBraves
LosAngelesAngels,BaltimoreOrioles
NewYorkYankees,BostonRedSox
DetroitTigers,ChicagoWhiteSox
TampaBayRays,CincinnatiReds
ClevelandGuardians,KansasCityRoyals
ChicagoCubs,LosAngelesDodgers
PittsburghPirates,MilwaukeeBrewers
MiamiMarlins,NewYorkMets
HoustonAstros,OaklandAthletics
SanFranciscoGiants,SanDiegoPadres
TorontoBlueJays,SeattleMariners
PhiladelphiaPhillies,St.LouisCardinals
MinnesotaTwins,TexasRangers
ColoradoRockies,ArizonaD'Backs
WashingtonNationals,AtlantaBraves
LosAngelesAngels,BaltimoreOrioles
NewYorkYankees,BostonRedSox
DetroitTigers,ChicagoWhiteSox
TampaBayRays,CincinnatiReds
ClevelandGuardians,KansasCityRoyals
ChicagoCubs,LosAngelesDodgers
PittsburghPirates,MilwaukeeBrewers
MiamiMarlins,NewYorkMets
HoustonAstros,OaklandAthletics
SanFranciscoGiants,SanDiegoPadres
TorontoBlueJays,SeattleMariners
PhiladelphiaPhillies,St.LouisCardinals
MinnesotaTwins,TexasRangers
ColoradoRockies,ArizonaD'Backs
WashingtonNationals,AtlantaBraves
LosAngelesAngels,BaltimoreOrioles
NewYorkYankees,BostonRedSox
DetroitTigers,ChicagoWhiteSox
TampaBayRays,CincinnatiReds
ClevelandGuardians,KansasCityRoyals
ChicagoCubs,LosAngelesDodgers
PittsburghPirates,MilwaukeeBrewers
MiamiMarlins,NewYorkMets
HoustonAstros,OaklandAthletics
SanFranciscoGiants,SanDiegoPadres
TorontoBlueJays,SeattleMariners
PhiladelphiaPhillies,St.LouisCardinals
MinnesotaTwins,TexasRangers
NewYorkMets,AtlantaBraves
ChicagoWhiteSox,ClevelandGuardians
SanDiegoPadres,ColoradoRockies
DetroitTigers,KansasCityRoyals
DetroitTigers,KansasCityRoyals
PittsburghPirates,MiamiMarlins
ArizonaD'Backs,SanFranciscoGiants
PhiladelphiaPhillies,St.LouisCardinals
BostonRedSox,TampaBayRays
OaklandAthletics,TexasRangers
HoustonAstros,LosAngelesAngels
NewYorkMets,AtlantaBraves
BaltimoreOrioles,ChicagoCubs
ChicagoWhiteSox,ClevelandGuardians
ChicagoWhiteSox,ClevelandGuardians
SanDiegoPadres,ColoradoRockies
DetroitTigers,KansasCityRoyals
PittsburghPirates,MiamiMarlins
MilwaukeeBrewers,MinnesotaTwins
CincinnatiReds,NewYorkYankees
ArizonaD'Backs,SanFranciscoGiants
LosAngelesDodgers,St.LouisCardinals
BostonRedSox,TampaBayRays
OaklandAthletics,TexasRangers
PhiladelphiaPhillies,TorontoBlueJays
HoustonAstros,LosAngelesAngels
NewYorkMets,AtlantaBraves
BaltimoreOrioles,ChicagoCubs
ChicagoWhiteSox,ClevelandGuardians
SanDiegoPadres,ColoradoRockies
DetroitTigers,KansasCityRoyals
PittsburghPirates,MiamiMarlins
MilwaukeeBrewers,MinnesotaTwins
CincinnatiReds,NewYorkYankees
ArizonaD'Backs,SanFranciscoGiants
LosAngelesDodgers,St.LouisCardinals
BostonRedSox,TampaBayRays
OaklandAthletics,TexasRangers
PhiladelphiaPhillies,TorontoBlueJays
SeattleMariners,WashingtonNationals
SeattleMariners,WashingtonNationals
HoustonAstros,LosAngelesAngels
NewYorkMets,ChicagoCubs
DetroitTigers,ClevelandGuardians
SanDiegoPadres,ColoradoRockies
PittsburghPirates,MiamiMarlins
ChicagoWhiteSox,MinnesotaTwins
CincinnatiReds,NewYorkYankees
MilwaukeeBrewers,SanFranciscoGiants
LosAngelesDodgers,St.LouisCardinals
BostonRedSox,TampaBayRays
SeattleMariners,TexasRangers
KansasCityRoyals,TorontoBlueJays
AtlantaBraves,WashingtonNationals
LosAngelesDodgers,LosAngelesAngels
DetroitTigers,ClevelandGuardians
PittsburghPirates,ColoradoRockies
OaklandAthletics,HoustonAstros
PhiladelphiaPhillies,MiamiMarlins
ChicagoWhiteSox,MinnesotaTwins
BostonRedSox,NewYorkYankees
ArizonaD'Backs,SanDiegoPadres
MilwaukeeBrewers,SanFranciscoGiants
CincinnatiReds,St.LouisCardinals
BaltimoreOrioles,TampaBayRays
SeattleMariners,TexasRangers
KansasCityRoyals,TorontoBlueJays
AtlantaBraves,WashingtonNationals
LosAngelesDodgers,LosAngelesAngels
NewYorkMets,ChicagoCubs
NewYorkMets,ChicagoCubs
DetroitTigers,ClevelandGuardians
PittsburghPirates,ColoradoRockies
OaklandAthletics,HoustonAstros
PhiladelphiaPhillies,MiamiMarlins
ChicagoWhiteSox,MinnesotaTwins
BostonRedSox,NewYorkYankees
ArizonaD'Backs,SanDiegoPadres
MilwaukeeBrewers,SanFranciscoGiants
CincinnatiReds,St.LouisCardinals
BaltimoreOrioles,TampaBayRays
SeattleMariners,TexasRangers
KansasCityRoyals,TorontoBlueJays
AtlantaBraves,WashingtonNationals
NewYorkMets,ChicagoCubs
PittsburghPirates,ColoradoRockies
OaklandAthletics,HoustonAstros
PhiladelphiaPhillies,MiamiMarlins
ChicagoWhiteSox,MinnesotaTwins
BostonRedSox,NewYorkYankees
ArizonaD'Backs,SanDiegoPadres
MilwaukeeBrewers,SanFranciscoGiants
BaltimoreOrioles,TampaBayRays
SeattleMariners,TexasRangers
KansasCityRoyals,TorontoBlueJays
AtlantaBraves,WashingtonNationals
NewYorkYankees,HoustonAstros
NewYorkYankees,HoustonAstros
SanFranciscoGiants,LosAngelesDodgers
TexasRangers,MiamiMarlins
DetroitTigers,OaklandAthletics
DetroitTigers,OaklandAthletics
WashingtonNationals,ArizonaD'Backs
LosAngelesAngels,AtlantaBraves
NewYorkYankees,BaltimoreOrioles
TorontoBlueJays,BostonRedSox
ClevelandGuardians,ChicagoWhiteSox
St.LouisCardinals,CincinnatiReds
TampaBayRays,KansasCityRoyals
SanFranciscoGiants,LosAngelesDodgers
ColoradoRockies,MilwaukeeBrewers
SanDiegoPadres,NewYorkMets
TexasRangers,OaklandAthletics
ChicagoCubs,PhiladelphiaPhillies
MiamiMarlins,PittsburghPirates
HoustonAstros,SeattleMariners
WashingtonNationals,ArizonaD'Backs
LosAngelesAngels,AtlantaBraves
NewYorkYankees,BaltimoreOrioles
TorontoBlueJays,BostonRedSox
ClevelandGuardians,ChicagoWhiteSox
ClevelandGuardians,ChicagoWhiteSox
St.LouisCardinals,CincinnatiReds
MinnesotaTwins,DetroitTigers
TampaBayRays,KansasCityRoyals
SanFranciscoGiants,LosAngelesDodgers
ColoradoRockies,MilwaukeeBrewers
SanDiegoPadres,NewYorkMets
TexasRangers,OaklandAthletics
ChicagoCubs,PhiladelphiaPhillies
MiamiMarlins,PittsburghPirates
HoustonAstros,SeattleMariners
WashingtonNationals,ArizonaD'Backs
LosAngelesAngels,AtlantaBraves
NewYorkYankees,BaltimoreOrioles
TorontoBlueJays,BostonRedSox
ClevelandGuardians,ChicagoWhiteSox
St.LouisCardinals,CincinnatiReds
MinnesotaTwins,DetroitTigers
TampaBayRays,KansasCityRoyals
SanFranciscoGiants,LosAngelesDodgers
ColoradoRockies,MilwaukeeBrewers
SanDiegoPadres,NewYorkMets
TexasRangers,OaklandAthletics
ChicagoCubs,PhiladelphiaPhillies
MiamiMarlins,PittsburghPirates
HoustonAstros,SeattleMariners
SanFranciscoGiants,ArizonaD'Backs
TampaBayRays,BaltimoreOrioles
ClevelandGuardians,BostonRedSox
PittsburghPirates,ChicagoCubs
MiamiMarlins,CincinnatiReds
SanDiegoPadres,DetroitTigers
LosAngelesAngels,KansasCityRoyals
WashingtonNationals,LosAngelesDodgers
ColoradoRockies,MilwaukeeBrewers
HoustonAstros,OaklandAthletics
AtlantaBraves,PhiladelphiaPhillies
TexasRangers,SeattleMariners
SanFranciscoGiants,ArizonaD'Backs
TampaBayRays,BaltimoreOrioles
ClevelandGuardians,BostonRedSox
PittsburghPirates,ChicagoCubs
MiamiMarlins,CincinnatiReds
ChicagoWhiteSox,ColoradoRockies
SanDiegoPadres,DetroitTigers
LosAngelesAngels,KansasCityRoyals
WashingtonNationals,LosAngelesDodgers
MinnesotaTwins,MilwaukeeBrewers
NewYorkYankees,NewYorkMets
HoustonAstros,OaklandAthletics
AtlantaBraves,PhiladelphiaPhillies
TexasRangers,SeattleMariners
